Time,Actor,Action,Hunger,Energy,Fun,Rel,Pen_Val,Pen_Dom,Hand_Val,Hand_Dom
Time,Actor,Action,Hunger,Energy,Fun,Rel,Pen_Val,Pen_Dom,Hand_Val,Hand_Dom
0.910,player,reset,50,50,50,50,0,-1,0,1
Time,Actor,Action,Hunger,Energy,Fun,Rel,Pen_Val,Pen_Dom,Hand_Val,Hand_Dom
3.253,penguin,moved to food,50,50,50,50,0,-1,0,1
9.146,penguin,moved to balls,49,49,49,50,0,-1,0,1
9.235,penguin,balls,46,42,59,50,0.0367,-0.975,0,1
11.940,penguin,moved to hill,46,42,59,50,0.0367,-0.975,0,1
12.005,penguin,hill,46,39,69,50,0.038033000000000004,-0.97605,0,1
14.886,penguin,moved to balls,45,38,68,50,0.038033000000000004,-0.97605,0,1
14.930,penguin,balls,42,31,78,50,0.07435267000000001,-0.9512894999999999,0,1
17.815,penguin,moved to hill,42,31,78,50,0.07435267000000001,-0.9512894999999999,0,1
28.239,penguin,moved to cave,40,29,76,50,0.07435267000000001,-0.9512894999999999,0,1
29.354,penguin,moved to matress,40,29,76,50,0.07435267000000001,-0.9512894999999999,0,1
29.422,penguin,matress,40,34,81,50,0.08190914330000001,-0.9442766049999999,0,1
30.528,penguin,moved to cave,39,33,80,50,0.08190914330000001,-0.9442766049999999,0,1
33.298,player,FREE,39,33,80,50,0.08190914330000001,-0.9442766049999999,0,1
36.988,player,COMMAND,38,32,79,50,0.08190914330000001,-0.9442766049999999,0,1
40.924,penguin,moved to hill,38,32,79,50,0.08190914330000001,-0.9442766049999999,0,1
42.625,penguin,moved to BH,37,31,78,50,0.08190914330000001,-0.9442766049999999,0,1
44.303,penguin,moved to hill,37,31,78,50,0.08190914330000001,-0.9442766049999999,0,1
44.348,penguin,hill,37,28,88,50,0.082790051867,-0.9456338389499999,0.0167,1.0141
47.339,penguin,moved to balls,36,27,87,50,0.082790051867,-0.9456338389499999,0.0167,1.0141
49.918,player,FREE,36,27,87,50,0.082790051867,-0.9456338389499999,0.0167,1.0141
51.158,penguin,moved to food,36,27,87,50,0.082790051867,-0.9456338389499999,0.0167,1.0141
56.629,player,COMMAND,35,26,86,50,0.082790051867,-0.9456338389499999,0.0167,1.0141
62.883,penguin,moved to matress,34,25,85,50,0.082790051867,-0.9456338389499999,0.0167,1.0141
63.944,penguin,moved to cave,33,24,84,50,0.082790051867,-0.9456338389499999,0.0167,1.0141
65.091,penguin,moved to matress,33,24,84,50,0.082790051867,-0.9456338389499999,0.0167,1.0141
65.136,penguin,matress,33,29,89,50,0.09026215134833,-0.9386775005604998,0.033233,1.028059
66.286,penguin,moved to cave,33,29,89,50,0.09026215134833,-0.9386775005604998,0.033233,1.028059
66.331,penguin,cave,36,39,89,50,0.0843595298348467,-0.9384907255548948,0.033233,1.028059
67.443,penguin,moved to matress,36,39,89,50,0.0843595298348467,-0.9384907255548948,0.033233,1.028059
67.488,penguin,matress,36,44,94,50,0.09181593453649822,-0.9316058182993457,0.033233,1.028059
68.590,penguin,moved to cave,36,44,94,50,0.09181593453649822,-0.9316058182993457,0.033233,1.028059
69.708,player,FREE,35,43,93,50,0.09181593453649822,-0.9316058182993457,0.033233,1.028059
71.155,player,FREE,35,41,96,54,0.11919777519113324,-0.9305897601163523,0.07290067,1.0410784100000001
76.125,player,FREE,34,40,95,54,0.11919777519113324,-0.9305897601163523,0.07290067,1.0410784100000001
78.342,player,FREE,34,42,88,47,0.0780057974392219,-0.9462838625151888,0.0771716633,1.0764676259000001
78.845,penguin,moved to hill,34,42,88,47,0.0780057974392219,-0.9462838625151888,0.0771716633,1.0764676259000001
81.480,penguin,moved to balls,33,41,87,47,0.0780057974392219,-0.9462838625151888,0.0771716633,1.0764676259000001
81.541,penguin,balls,30,34,97,47,0.11392573946482967,-0.921821023890037,0.0771716633,1.0764676259000001
84.314,penguin,moved to hill,30,34,97,47,0.11392573946482967,-0.921821023890037,0.0771716633,1.0764676259000001
94.306,penguin,moved to cave,28,32,95,47,0.11392573946482967,-0.921821023890037,0.0771716633,1.0764676259000001
95.442,penguin,moved to matress,28,32,95,47,0.11392573946482967,-0.921821023890037,0.0771716633,1.0764676259000001
95.487,penguin,matress,28,37,100,47,0.12108648207018138,-0.9151028136511365,0.0771716633,1.0764676259000001
96.719,penguin,moved to cave,27,36,99,47,0.12108648207018138,-0.9151028136511365,0.0771716633,1.0764676259000001
99.381,player,FREE,27,36,99,47,0.12108648207018138,-0.9151028136511365,0.0771716633,1.0764676259000001
99.443,player,game_over,27,36,99,47,0.12108648207018138,-0.9151028136511365,0.0771716633,1.0764676259000001
